Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,
20,September,2022,"3,370","3,294",2.31%,"2,022","1,976",2.31%,1.90%,5.04%,682,760,,
21,September,2022,"4,196","3,390",23.78%,"2,518","2,034",23.78%,2.08%,2.17%,656,648,,
22,September,2022,"2,725","3,899",-30.11%,"1,635","2,339",-30.11%,3.59%,2.07%,620,669,,
23,September,2022,"3,308","3,549",-6.79%,"1,985","2,129",-6.79%,2.15%,2.08%,645,637,,
24,September,2022,"1,578","5,243",-69.90%,947,"3,146",-69.90%,1.95%,1.80%,431,678,,
25,September,2022,"1,291","2,211",-41.61%,775,"1,327",-41.61%,0.69%,2.02%,19,515,,
26,September,2022,"3,862","1,018",279.37%,"2,317",611,279.37%,1.12%,0.58%,659,15,,
27,September,2022,"2,762","4,993",-44.68%,"1,657","2,996",-44.68%,4.54%,2.03%,581,823,,
28,September,2022,"2,153","3,304",-34.84%,"1,292","1,982",-34.84%,1.63%,3.17%,542,663,,
29,September,2022,"3,734","3,401",9.79%,"2,240","2,041",9.79%,1.15%,2.50%,527,689,,
30,September,2022,"3,103","5,111",-39.29%,"1,862","3,067",-39.29%,2.14%,2.28%,2732,2796,,
1,October,2022,"1,982","4,681",-57.66%,"1,189","2,809",-57.66%,4.04%,3.12%,513,812,,
2,October,2022,"1,500","2,531",-40.73%,900,"1,519",-40.73%,0.20%,1.57%,21,562,,
3,October,2022,"3,975","2,219",79.13%,"2,385","1,331",79.13%,3.04%,0.04%,740,16,,
4,October,2022,"2,840","4,863",-41.60%,"1,704","2,918",-41.60%,2.19%,2.25%,621,858,,
5,October,2022,"2,792","3,287",-15.06%,"1,675","1,972",-15.06%,2.22%,2.58%,600,681,,
6,October,2022,"3,536","4,918",-28.10%,"2,122","2,951",-28.10%,2.38%,1.72%,598,712,,
7,October,2022,"2,727","4,843",-43.69%,"1,636","2,906",-43.69%,3.45%,1.17%,596,666,,
8,October,2022,"1,475","2,596",-43.18%,885,"1,558",-43.18%,1.55%,3.73%,446,696,,
9,October,2022,"1,903","1,920",-0.89%,"1,142","1,152",-0.89%,12.96%,3.81%,26,482,,
10,October,2022,"3,674","2,651",38.59%,"2,204","1,591",38.59%,1.12%,0.04%,685,16,,
11,October,2022,"2,610","4,270",-38.88%,"1,566","2,562",-38.88%,2.35%,2.18%,623,672,,
12,October,2022,"4,690","2,528",85.52%,"2,814","1,517",85.52%,1.52%,2.58%,567,584,,
13,October,2022,"2,263","3,408",-33.60%,"1,358","2,045",-33.60%,2.83%,1.48%,547,551,,
14,October,2022,"3,009","3,699",-18.65%,"1,805","2,219",-18.65%,2.02%,1.11%,619,556,,
15,October,2022,"1,734","2,774",-37.49%,"1,040","1,664",-37.49%,1.47%,2.40%,473,595,,
16,October,2022,"1,132","1,929",-41.32%,679,"1,157",-41.32%,0.00%,2.00%,18,474,,
17,October,2022,"4,939","1,178",319.27%,"2,963",707,319.27%,1.97%,0.17%,652,15,,
18,October,2022,"2,482","4,375",-43.27%,"1,489","2,625",-43.27%,2.02%,1.67%,552,744,,
19,October,2022,"3,167","3,106",1.96%,"1,900","1,864",1.96%,2.31%,1.02%,549,562,,
20,October,2022,"3,147","3,333",-5.58%,"1,888","2,000",-5.58%,1.61%,2.10%,545,579,,
21,October,2022,"2,687","3,912",-31.31%,"1,612","2,347",-31.31%,1.50%,2.96%,645,528,,
22,October,2022,"1,796","2,877",-37.57%,"1,078","1,726",-37.57%,0.83%,2.17%,430,607,,
23,October,2022,"1,340","1,679",-20.19%,804,"1,007",-20.19%,0.00%,1.42%,14,453,,
24,October,2022,"4,542","1,358",234.46%,"2,725",815,234.46%,1.79%,0.15%,692,8,,
25,October,2022,"3,277","3,386",-3.22%,"1,966","2,032",-3.22%,1.82%,2.60%,602,733,,
26,October,2022,"2,888","2,125",35.91%,"1,733","1,275",35.91%,1.87%,3.13%,437,472,,
27,October,2022,"2,172","2,434",-10.76%,"1,303","1,460",-10.76%,1.01%,3.14%,641,636,,
28,October,2022,220,"1,676",-86.87%,132,"1,006",-86.87%,0.00%,0.00%,5,24,,
29,October,2022,"1,687","4,088",-58.73%,"1,012","2,453",-58.73%,1.28%,1.77%,516,701,,
30,October,2022,"1,484","2,118",-29.93%,890,"1,271",-29.93%,0.13%,1.88%,23,531,,
31,October,2022,"4,237","1,760",140.74%,"2,542","1,056",140.74%,2.19%,1.83%,2475,2314,,
1,November,2022,"4,441","4,364",1.76%,"2,665","2,618",1.76%,1.30%,3.77%,666,750,,
2,November,2022,"3,267","5,309",-38.46%,"1,960","3,185",-38.46%,2.39%,1.84%,618,598,,
3,November,2022,"4,135","3,573",15.73%,"2,481","2,144",15.73%,1.55%,2.01%,593,609,,
4,November,2022,"2,886","3,495",-17.42%,"1,732","2,097",-17.42%,1.09%,3.17%,614,607,,
5,November,2022,"1,860","2,666",-30.23%,"1,116","1,600",-30.23%,1.35%,4.19%,484,635,,
6,November,2022,891,"1,828",-51.26%,535,"1,097",-51.26%,4.77%,6.63%,18,465,,
7,November,2022,"3,886",850,357.18%,"2,332",510,357.18%,1.42%,0.69%,693,12,,
8,November,2022,"2,301","4,048",-43.16%,"1,381","2,429",-43.16%,1.23%,1.89%,595,746,,
9,November,2022,"2,430","2,726",-10.86%,"1,458","1,636",-10.86%,3.30%,2.81%,558,609,,
10,November,2022,"2,916","4,095",-28.79%,"1,750","2,457",-28.79%,2.18%,5.25%,574,567,,
11,November,2022,"3,068","3,312",-7.37%,"1,841","1,987",-7.37%,0.84%,1.48%,562,534,,
12,November,2022,"1,585","2,711",-41.53%,951,"1,627",-41.53%,1.46%,3.11%,458,572,,
13,November,2022,"2,444","1,725",41.68%,"1,466","1,035",41.68%,0.00%,0.74%,21,441,,
14,November,2022,"3,663","3,322",10.26%,"2,198","1,993",10.26%,0.73%,0.06%,647,19,,
15,November,2022,"2,899","3,158",-8.20%,"1,739","1,895",-8.20%,2.84%,2.36%,563,668,,
16,November,2022,"2,144","2,633",-18.57%,"1,286","1,580",-18.57%,2.39%,2.19%,538,616,,
17,November,2022,"2,969","2,186",35.82%,"1,781","1,312",35.82%,2.69%,2.85%,509,548,,
18,November,2022,"2,609","3,686",-29.22%,"1,565","2,212",-29.22%,1.86%,4.86%,556,522,,
19,November,2022,"1,273","3,044",-58.18%,764,"1,826",-58.18%,2.55%,4.03%,395,579,,
20,November,2022,"2,409","1,457",65.34%,"1,445",874,65.34%,0.45%,1.10%,17,417,,
21,November,2022,"2,854","1,403",103.42%,"1,712",842,103.42%,2.43%,4.93%,601,21,,
22,November,2022,"1,919","3,371",-43.07%,"1,151","2,023",-43.07%,2.57%,2.96%,545,676,,
23,November,2022,"2,012","2,087",-3.59%,"1,207","1,252",-3.59%,2.30%,5.09%,482,493,,
24,November,2022,"3,382","1,779",90.11%,"2,029","1,067",90.11%,3.35%,3.36%,496,505,,
25,November,2022,"2,240","2,789",-19.68%,"1,344","1,673",-19.68%,2.73%,4.85%,537,486,,
26,November,2022,"1,549","2,261",-31.49%,929,"1,357",-31.49%,1.47%,3.09%,440,553,,
27,November,2022,"1,164","1,667",-30.17%,698,"1,000",-30.17%,0.00%,1.64%,13,422,,
28,November,2022,"4,485",644,596.43%,"2,691",386,596.43%,1.62%,0.00%,621,11,,
29,November,2022,"1,893","4,800",-60.56%,"1,136","2,880",-60.56%,1.94%,2.28%,557,672,,
30,November,2022,"2,295","1,917",19.72%,"1,377","1,150",19.72%,3.26%,3.76%,2362,2444,,
1,December,2022,"2,806","3,312",-15.28%,"1,684","1,987",-15.28%,1.83%,4.79%,496,554,,
2,December,2022,"2,494","2,706",-7.83%,"1,496","1,624",-7.83%,1.48%,3.93%,514,528,,
3,December,2022,"1,584","2,837",-44.17%,950,"1,702",-44.17%,1.10%,2.98%,437,564,,
4,December,2022,444,"1,140",-61.05%,266,684,-61.05%,0.23%,6.08%,17,411,,
5,December,2022,"3,467",511,578.47%,"2,080",307,578.47%,1.08%,0.20%,510,16,,
6,December,2022,"2,245","4,296",-47.74%,"1,347","2,578",-47.74%,1.77%,1.99%,509,607,,
7,December,2022,"1,942","2,056",-5.54%,"1,165","1,234",-5.54%,1.01%,5.94%,408,538,,
8,December,2022,"3,889","2,178",78.56%,"2,333","1,307",78.56%,1.48%,6.28%,442,556,,
9,December,2022,"2,527","3,984",-36.57%,"1,516","2,390",-36.57%,1.56%,3.82%,440,568,,
10,December,2022,"1,640","2,076",-21.00%,984,"1,246",-21.00%,1.07%,7.92%,396,600,,
11,December,2022,"1,512","1,298",16.49%,907,779,16.49%,0.00%,1.54%,14,417,,
12,December,2022,"2,305","1,115",106.73%,"1,383",669,106.73%,1.33%,0.88%,476,14,,
13,December,2022,"2,284","4,046",-43.55%,"1,370","2,428",-43.55%,3.30%,3.51%,490,657,,
14,December,2022,"2,033","2,290",-11.22%,"1,220","1,374",-11.22%,2.06%,5.60%,396,509,,
15,December,2022,"1,574","3,133",-49.76%,944,"1,880",-49.76%,2.35%,3.21%,377,475,,
16,December,2022,"3,067","3,006",2.03%,"1,840","1,804",2.03%,0.95%,3.92%,439,535,,
17,December,2022,"1,288","2,368",-45.61%,773,"1,421",-45.61%,1.01%,4.01%,303,541,,
18,December,2022,"1,656","1,286",28.77%,994,772,28.77%,0.00%,1.68%,14,415,,
19,December,2022,"3,145","1,418",121.79%,"1,887",851,121.79%,0.65%,0.70%,431,23,,
20,December,2022,"2,221","3,180",-30.16%,"1,333","1,908",-30.16%,2.46%,3.61%,557,560,,
21,December,2022,"2,517","2,506",0.44%,"1,510","1,504",0.44%,2.17%,2.32%,469,481,,
22,December,2022,"2,918","3,240",-9.94%,"1,751","1,944",-9.94%,2.20%,2.70%,558,511,,
23,December,2022,"2,869","3,579",-19.84%,"1,721","2,147",-19.84%,1.74%,3.10%,578,602,,
24,December,2022,"1,184","2,098",-43.57%,710,"1,259",-43.57%,1.09%,3.40%,405,562,,
25,December,2022,106,0,#DIV/0!,64,,,1.85%,,5,,,
26,December,2022,776,936,-17.09%,466,562,-17.09%,0.00%,0.00%,13,14,,
27,December,2022,"3,458","4,007",-13.70%,"2,075","2,404",-13.70%,2.80%,4.20%,566,480,,
28,December,2022,"3,133","1,573",99.17%,"1,880",944,99.17%,3.26%,4.99%,497,483,,
29,December,2022,"2,223","3,552",-37.42%,"1,334","2,131",-37.42%,3.97%,3.75%,485,499,,
30,December,2022,"2,341","2,425",-3.46%,"1,405","1,455",-3.46%,2.80%,4.40%,484,537,,
31,December,2022,946,"1,545",-38.77%,568,927,-38.77%,12.79%,8.85%,2807,2892,,
