Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,
1,March,2022,"2,356","4,602",-48.80%,"1,414","2,761",-48.80%,3.31%,2.07%,623,741,,
2,March,2022,"3,200","2,734",17.04%,"1,920","1,640",17.04%,1.61%,1.33%,796,542,,
3,March,2022,"3,972","2,658",49.44%,"2,383","1,595",49.44%,1.31%,1.03%,559,599,,
4,March,2022,"2,738","3,869",-29.23%,"1,643","2,321",-29.23%,3.67%,0.81%,574,546,,
5,March,2022,"1,250","2,866",-56.39%,750,"1,720",-56.39%,0.86%,1.91%,421,588,,
6,March,2022,0,"1,478",-100.00%,,887,-100.00%,,0.67%,,470,,
7,March,2022,736,"1,538",-52.15%,442,923,-52.15%,0.13%,0.13%,20,16,,
8,March,2022,"2,755","3,640",-24.31%,"1,653","2,184",-24.31%,1.25%,3.08%,668,659,,
9,March,2022,"5,594","2,749",103.49%,"3,356","1,649",103.49%,1.14%,1.84%,496,535,,
10,March,2022,"3,134","3,244",-3.39%,"1,880","1,946",-3.39%,2.49%,0.76%,523,571,,
11,March,2022,"2,131","2,592",-17.79%,"1,279","1,555",-17.79%,4.24%,1.60%,560,531,,
12,March,2022,"1,673","4,199",-60.16%,"1,004","2,519",-60.16%,3.17%,1.12%,433,682,,
13,March,2022,40,"1,689",-97.63%,24,"1,013",-97.63%,34.29%,0.92%,8,502,,
14,March,2022,"3,129",0,#DIV/0!,"1,877",,,2.22%,,603,,,
15,March,2022,"1,595",552,188.95%,957,331,188.95%,8.88%,0.70%,500,19,,
16,March,2022,"2,918","3,721",-21.58%,"1,751","2,233",-21.58%,2.98%,2.05%,506,630,,
17,March,2022,"2,809","3,428",-18.06%,"1,685","2,057",-18.06%,3.38%,2.51%,513,583,,
18,March,2022,"2,298","3,861",-40.48%,"1,379","2,317",-40.48%,2.77%,2.17%,521,541,,
19,March,2022,"1,387","3,058",-54.64%,832,"1,835",-54.64%,1.07%,2.79%,393,982,,
20,March,2022,488,"1,485",-67.14%,293,891,-67.14%,0.41%,0.59%,15,441,,
21,March,2022,"3,171",762,316.14%,"1,903",457,316.14%,2.02%,0.26%,618,16,,
22,March,2022,"2,131","3,735",-42.95%,"1,279","2,241",-42.95%,3.93%,2.39%,539,686,,
23,March,2022,"2,876","3,317",-13.30%,"1,726","1,990",-13.30%,2.15%,1.15%,512,582,,
24,March,2022,"1,493","2,134",-30.04%,896,"1,280",-30.04%,4.04%,2.13%,554,658,,
25,March,2022,734,"1,073",-31.59%,440,644,-31.59%,0.81%,0.64%,5,19,,
26,March,2022,"1,817","3,262",-44.30%,"1,090","1,957",-44.30%,2.35%,2.31%,465,624,,
27,March,2022,246,"1,766",-86.07%,148,"1,060",-86.07%,11.35%,0.90%,14,504,,
28,March,2022,"3,506","1,691",107.33%,"2,104","1,015",107.33%,2.88%,3.03%,619,8,,
29,March,2022,"2,822","5,391",-47.65%,"1,693","3,235",-47.65%,2.49%,1.26%,612,705,,
30,March,2022,"3,128","2,765",13.13%,"1,877","1,659",13.13%,2.91%,2.21%,555,569,,
31,March,2022,"2,886","2,428",18.86%,"1,732","1,457",18.86%,3.41%,3.77%,2661,2579,,
1,April,2022,"3,113","5,312",-41.40%,"1,868","3,187",-41.40%,6.73%,2.20%,663,566,,
2,April,2022,"1,612","2,843",-43.30%,967,"1,706",-43.30%,2.49%,3.14%,426,648,,
3,April,2022,416,"1,650",-74.79%,250,990,-74.79%,0.00%,0.89%,17,482,,
4,April,2022,"3,266","1,388",135.30%,"1,960",833,135.30%,2.05%,0.29%,647,14,,
5,April,2022,"2,408","4,049",-40.53%,"1,445","2,429",-40.53%,3.14%,1.92%,569,737,,
6,April,2022,"2,187","2,580",-15.23%,"1,312","1,548",-15.23%,2.41%,2.74%,531,574,,
7,April,2022,"2,755","3,779",-27.10%,"1,653","2,267",-27.10%,6.03%,1.50%,536,554,,
8,April,2022,"2,608","3,534",-26.20%,"1,565","2,120",-26.20%,3.84%,2.02%,579,557,,
9,April,2022,"1,387","2,749",-49.55%,832,"1,649",-49.55%,1.49%,2.22%,435,653,,
10,April,2022,996,"1,448",-31.22%,598,869,-31.22%,0.80%,0.91%,22,450,,
11,April,2022,"3,502","2,371",47.70%,"2,101","1,423",47.70%,4.70%,0.88%,659,21,,
12,April,2022,"2,928","3,862",-24.18%,"1,757","2,317",-24.18%,2.58%,2.73%,551,744,,
13,April,2022,"3,446","2,398",43.70%,"2,068","1,439",43.70%,2.37%,2.47%,520,597,,
14,April,2022,"2,413","3,868",-37.62%,"1,448","2,321",-37.62%,5.45%,1.68%,548,588,,
15,April,2022,"2,197","4,091",-46.30%,"1,318","2,455",-46.30%,6.32%,2.97%,566,558,,
16,April,2022,"1,219","2,738",-55.48%,731,"1,643",-55.48%,2.72%,4.11%,375,669,,
17,April,2022,551,"1,586",-65.26%,331,952,-65.26%,1.56%,3.35%,29,473,,
18,April,2022,"2,819",491,474.13%,"1,691",295,474.13%,3.61%,14.66%,623,12,,
19,April,2022,"2,119","3,934",-46.14%,"1,271","2,360",-46.14%,3.45%,2.22%,489,704,,
20,April,2022,"2,347","3,308",-29.05%,"1,408","1,985",-29.05%,4.60%,1.25%,592,546,,
21,April,2022,"3,902","2,437",60.11%,"2,341","1,462",60.11%,2.61%,2.77%,508,569,,
22,April,2022,"1,808","3,584",-49.55%,"1,085","2,150",-49.55%,4.69%,1.25%,516,522,,
23,April,2022,872,"2,410",-63.82%,523,"1,446",-63.82%,0.58%,2.91%,327,592,,
24,April,2022,0,"1,342",-100.00%,,805,-100.00%,,0.84%,,422,,
25,April,2022,"1,456","2,206",-34.00%,874,"1,324",-34.00%,0.00%,0.09%,25,21,,
26,April,2022,"3,316","4,001",-17.12%,"1,990","2,401",-17.12%,3.31%,1.87%,493,646,,
27,April,2022,"1,789","2,142",-16.48%,"1,073","1,285",-16.48%,4.19%,2.03%,475,468,,
28,April,2022,"3,125","2,593",20.52%,"1,875","1,556",20.52%,3.40%,1.22%,545,543,,
29,April,2022,"2,870","4,131",-30.53%,"1,722","2,479",-30.53%,4.73%,1.25%,743,503,,
30,April,2022,"1,482","2,940",-49.59%,889,"1,764",-49.59%,2.19%,2.52%,2300,2291,,
1,May,2022,-16,"1,443",-101.11%,-10,866,-101.11%,200.00%,4.43%,7,450,,
2,May,2022,733,0,#DIV/0!,440,,,0.53%,,23,,,
3,May,2022,"4,062",0,#DIV/0!,"2,437",,,3.83%,,788,,,
4,May,2022,"3,850",542,610.33%,"2,310",325,610.33%,2.62%,1.09%,753,15,,
5,May,2022,"4,530","3,215",40.90%,"2,718","1,929",40.90%,4.45%,1.86%,715,587,,
6,May,2022,"3,270","3,938",-16.96%,"1,962","2,363",-16.96%,3.97%,3.84%,712,651,,
7,May,2022,"1,834","4,122",-55.51%,"1,100","2,473",-55.51%,0.47%,2.47%,511,726,,
8,May,2022,"3,484","2,507",38.97%,"2,090","1,504",38.97%,0.00%,1.43%,27,572,,
9,May,2022,"3,413","2,707",26.08%,"2,048","1,624",26.08%,2.15%,0.18%,752,12,,
10,May,2022,"2,831","5,988",-52.72%,"1,699","3,593",-52.72%,2.09%,0.69%,672,772,,
11,May,2022,"2,818","3,399",-17.09%,"1,691","2,039",-17.09%,3.24%,1.68%,608,642,,
12,May,2022,"3,492","3,364",3.80%,"2,095","2,018",3.80%,3.64%,2.08%,586,664,,
13,May,2022,"3,051","5,536",-44.89%,"1,831","3,322",-44.89%,3.84%,0.84%,655,612,,
14,May,2022,"1,873","3,860",-51.48%,"1,124","2,316",-51.48%,1.26%,2.59%,451,759,,
15,May,2022,"1,364","2,265",-39.78%,818,"1,359",-39.78%,0.29%,0.84%,17,544,,
16,May,2022,"4,682","1,022",358.12%,"2,809",613,358.12%,1.01%,5.35%,829,20,,
17,May,2022,"3,835","5,169",-25.81%,"2,301","3,101",-25.81%,2.83%,1.20%,739,814,,
18,May,2022,"3,785","2,954",28.13%,"2,271","1,772",28.13%,1.32%,1.04%,724,678,,
19,May,2022,"2,314","5,394",-57.10%,"1,388","3,236",-57.10%,3.03%,0.67%,660,706,,
20,May,2022,"5,178","5,163",0.29%,"3,107","3,098",0.29%,1.59%,1.76%,708,607,,
21,May,2022,"2,095","3,859",-45.71%,"1,257","2,315",-45.71%,0.82%,2.12%,517,768,,
22,May,2022,"2,967","2,445",21.35%,"1,780","1,467",21.35%,0.30%,0.46%,24,539,,
23,May,2022,"4,095","2,111",93.98%,"2,457","1,267",93.98%,3.66%,0.05%,750,12,,
24,May,2022,"3,173","5,722",-44.55%,"1,904","3,433",-44.55%,0.97%,0.69%,628,800,,
25,May,2022,"3,381","2,264",49.34%,"2,029","1,358",49.34%,1.16%,3.84%,655,700,,
26,May,2022,"4,779","2,555",87.05%,"2,867","1,533",87.05%,1.78%,2.13%,606,696,,
27,May,2022,"2,513","5,701",-55.92%,"1,508","3,421",-55.92%,4.38%,2.49%,700,636,,
28,May,2022,"1,931","4,342",-55.53%,"1,159","2,605",-55.53%,0.69%,1.76%,550,739,,
29,May,2022,"2,232","2,354",-5.18%,"1,339","1,412",-5.18%,0.00%,1.14%,22,593,,
30,May,2022,"5,252","1,497",250.84%,"3,151",898,250.84%,2.69%,0.20%,800,14,,
31,May,2022,"2,142","4,657",-54.00%,"1,285","2,794",-54.00%,4.10%,2.03%,2484,2433,,
1,June,2022,"2,592","4,207",-38.39%,"1,555","2,524",-38.39%,4.11%,2.30%,643,684,,
2,June,2022,"8,298","3,157",162.84%,"4,979","1,894",162.84%,1.35%,2.26%,567,698,,
3,June,2022,"5,928","5,209",13.80%,"3,557","3,125",13.80%,1.19%,0.83%,761,665,,
4,June,2022,"2,133","4,917",-56.62%,"1,280","2,950",-56.62%,0.70%,1.40%,549,752,,
5,June,2022,"1,392","2,480",-43.87%,835,"1,488",-43.87%,0.00%,0.80%,20,530,,
6,June,2022,"3,377","3,352",0.75%,"2,026","2,011",0.75%,0.67%,0.06%,829,16,,
7,June,2022,"2,377","4,743",-49.88%,"1,426","2,846",-49.88%,1.33%,2.61%,702,818,,
8,June,2022,"6,652","4,124",61.30%,"3,991","2,474",61.30%,0.33%,1.91%,633,703,,
9,June,2022,"4,612","5,315",-13.23%,"2,767","3,189",-13.23%,0.81%,0.78%,616,710,,
10,June,2022,"4,048","5,489",-26.25%,"2,429","3,293",-26.25%,1.02%,1.55%,795,628,,
11,June,2022,"2,339","4,087",-42.77%,"1,403","2,452",-42.77%,0.36%,2.06%,529,750,,
12,June,2022,"1,536","2,314",-33.62%,922,"1,388",-33.62%,4.48%,0.58%,17,575,,
13,June,2022,"2,605","2,907",-10.39%,"1,563","1,744",-10.39%,2.21%,1.66%,455,19,,
14,June,2022,"2,686","4,912",-45.32%,"1,612","2,947",-45.32%,0.83%,1.76%,780,762,,
15,June,2022,"5,128","3,620",41.66%,"3,077","2,172",41.66%,0.78%,0.80%,716,655,,
16,June,2022,"4,809","2,760",74.24%,"2,885","1,656",74.24%,1.05%,1.50%,616,693,,
17,June,2022,"3,102","6,998",-55.67%,"1,861","4,199",-55.67%,1.31%,1.80%,718,607,,
18,June,2022,"2,112","3,669",-42.44%,"1,267","2,201",-42.44%,0.34%,1.68%,499,742,,
19,June,2022,852,"2,268",-62.43%,511,"1,361",-62.43%,0.00%,0.93%,17,620,,
20,June,2022,"6,014","2,216",171.39%,"3,608","1,330",171.39%,1.11%,0.00%,725,13,,
21,June,2022,"2,097","3,524",-40.49%,"1,258","2,114",-40.49%,1.93%,3.10%,607,443,,
22,June,2022,"2,452","4,044",-39.37%,"1,471","2,426",-39.37%,1.18%,1.04%,614,741,,
23,June,2022,"3,593","3,280",9.54%,"2,156","1,968",9.54%,1.70%,0.81%,582,731,,
24,June,2022,"4,274","7,048",-39.36%,"2,564","4,229",-39.36%,0.77%,0.84%,637,655,,
25,June,2022,"1,629","3,134",-48.02%,977,"1,880",-48.02%,0.52%,0.71%,504,735,,
26,June,2022,"1,528","2,266",-32.57%,917,"1,360",-32.57%,0.00%,0.13%,19,587,,
27,June,2022,"3,262","2,683",21.58%,"1,957","1,610",21.58%,2.76%,0.33%,706,22,,
28,June,2022,"2,673","4,647",-42.48%,"1,604","2,788",-42.48%,0.84%,1.25%,619,830,,
29,June,2022,"3,683","3,525",4.48%,"2,210","2,115",4.48%,0.51%,0.63%,622,679,,
30,June,2022,"4,844","5,298",-8.57%,"2,906","3,179",-8.57%,0.84%,0.50%,2846,2790,,
1,July,2022,"3,023","3,684",-17.94%,"1,814","2,210",-17.94%,5.72%,3.42%,648,613,,
2,July,2022,"1,579","3,346",-52.81%,947,"2,008",-52.81%,0.69%,1.14%,487,688,,
3,July,2022,956,"1,651",-42.10%,574,991,-42.10%,0.00%,1.19%,20,504,,
4,July,2022,"4,074","1,434",184.10%,"2,444",860,184.10%,1.54%,8.76%,705,20,,
5,July,2022,"3,881","5,177",-25.03%,"2,329","3,106",-25.03%,0.72%,0.84%,642,776,,
6,July,2022,"3,336","3,044",9.59%,"2,002","1,826",9.59%,1.00%,0.69%,615,604,,
7,July,2022,"3,712","4,016",-7.57%,"2,227","2,410",-7.57%,0.94%,0.67%,578,612,,
8,July,2022,"2,638","3,725",-29.18%,"1,583","2,235",-29.18%,1.00%,0.95%,634,577,,
9,July,2022,"1,660","3,912",-57.57%,996,"2,347",-57.57%,0.80%,1.11%,440,666,,
10,July,2022,"1,127","1,760",-35.97%,676,"1,056",-35.97%,0.09%,0.32%,20,480,,
11,July,2022,"3,615","1,423",154.04%,"2,169",854,154.04%,1.95%,0.07%,732,21,,
12,July,2022,"2,969","3,711",-19.99%,"1,781","2,227",-19.99%,1.30%,1.02%,592,722,,
13,July,2022,"4,086","2,690",51.90%,"2,452","1,614",51.90%,1.31%,1.62%,635,601,,
14,July,2022,"3,175","4,110",-22.75%,"1,905","2,466",-22.75%,1.49%,0.76%,513,594,,
15,July,2022,"2,290","4,235",-45.93%,"1,374","2,541",-45.93%,1.62%,0.83%,666,590,,
16,July,2022,"1,364","3,031",-55.00%,818,"1,819",-55.00%,1.61%,1.12%,440,642,,
17,July,2022,"2,067","1,442",43.34%,"1,240",865,43.34%,0.24%,0.63%,22,453,,
18,July,2022,"3,699","2,676",38.23%,"2,219","1,606",38.23%,1.20%,0.00%,685,21,,
19,July,2022,"2,777","3,263",-14.89%,"1,666","1,958",-14.89%,1.46%,2.16%,613,695,,
20,July,2022,"3,281","3,246",1.08%,"1,969","1,948",1.08%,1.21%,1.97%,581,615,,
21,July,2022,"2,188","2,520",-13.17%,"1,313","1,512",-13.17%,9.27%,1.27%,574,631,,
22,July,2022,"3,729","3,655",2.02%,"2,237","2,193",2.02%,2.21%,1.68%,683,584,,
23,July,2022,"1,264","3,319",-61.92%,758,"1,991",-61.92%,1.25%,2.00%,361,666,,
24,July,2022,508,"2,141",-76.27%,305,"1,285",-76.27%,9.22%,1.11%,15,522,,
25,July,2022,"4,594","2,487",84.72%,"2,756","1,492",84.72%,0.51%,0.12%,705,19,,
26,July,2022,"2,920","4,058",-28.04%,"1,752","2,435",-28.04%,1.35%,1.47%,606,825,,
27,July,2022,"3,336","3,662",-8.90%,"2,002","2,197",-8.90%,1.07%,1.35%,573,683,,
28,July,2022,"3,274","4,344",-24.63%,"1,964","2,606",-24.63%,2.12%,0.93%,572,713,,
29,July,2022,"3,365","4,693",-28.30%,"2,019","2,816",-28.30%,1.24%,1.77%,708,666,,
30,July,2022,"1,565","3,601",-56.54%,939,"2,161",-56.54%,0.93%,2.29%,341,728,,
31,July,2022,"1,627","1,838",-11.48%,976,"1,103",-11.48%,0.00%,2.49%,2239,2366,,
1,August,2022,"2,964","1,898",56.16%,"1,778","1,139",56.16%,4.09%,0.99%,687,26,,
2,August,2022,"3,233","3,866",-16.37%,"1,940","2,320",-16.37%,1.69%,3.05%,618,741,,
3,August,2022,"2,101","3,099",-32.20%,"1,261","1,859",-32.20%,2.40%,3.71%,581,600,,
4,August,2022,"2,750","4,256",-35.39%,"1,650","2,554",-35.39%,1.83%,1.69%,498,660,,
5,August,2022,"3,059","4,046",-24.39%,"1,835","2,428",-24.39%,2.35%,1.81%,642,578,,
6,August,2022,"1,102","3,152",-65.04%,661,"1,891",-65.04%,0.73%,2.47%,315,635,,
7,August,2022,"1,573","1,701",-7.52%,944,"1,021",-7.52%,0.32%,1.29%,21,454,,
8,August,2022,"3,516",618,468.93%,"2,110",371,468.93%,0.86%,0.31%,686,19,,
9,August,2022,"2,432","4,400",-44.73%,"1,459","2,640",-44.73%,2.72%,2.33%,578,665,,
10,August,2022,"2,545","3,313",-23.18%,"1,527","1,988",-23.18%,2.17%,1.75%,593,600,,
11,August,2022,"3,897","3,393",14.85%,"2,338","2,036",14.85%,2.34%,1.77%,568,611,,
12,August,2022,"2,793","3,800",-26.50%,"1,676","2,280",-26.50%,2.50%,1.07%,650,531,,
13,August,2022,608,"2,068",-70.60%,365,"1,241",-70.60%,0.73%,4.94%,277,615,,
14,August,2022,320,"1,250",-74.40%,192,750,-74.40%,1.24%,0.77%,7,405,,
15,August,2022,"1,018",868,17.28%,611,521,17.28%,0.29%,0.00%,82,17,,
16,August,2022,"4,605","3,295",39.76%,"2,763","1,977",39.76%,1.25%,2.01%,664,637,,
17,August,2022,"2,699","2,384",13.21%,"1,619","1,430",13.21%,3.45%,5.22%,631,513,,
18,August,2022,"2,894","3,267",-11.42%,"1,736","1,960",-11.42%,4.60%,1.70%,613,558,,
19,August,2022,"2,346","2,492",-5.86%,"1,408","1,495",-5.86%,6.14%,4.06%,657,557,,
