Day,Month,Year,daily_unit_sales,previous_year_daily_unit_sales,percentage_difference_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,percentage_difference_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution,previous_year_points_of_distribution,,,,,,
28,August,2021,"1,787","3,482",-48.68%,"1,072","2,089",-48.68%,0.98%,18.64%,474,951,,,,,,
29,August,2021,"1,212","1,566",-22.61%,727,940,-22.61%,0.65%,22.63%,17,486,,,,,,
30,August,2021,"4,129","1,338",208.59%,"2,477",803,208.59%,4.59%,1.91%,688,18,,,,,,
31,August,2021,"2,447","3,850",-36.44%,"1,468","2,310",-36.44%,2.23%,16.86%,2355,1751,,,,,,
1,September,2021,"5,183","2,795",85.44%,"3,110","1,677",85.44%,6.84%,21.97%,697,647,,,,,,
2,September,2021,"3,719","5,046",-26.30%,"2,231","3,028",-26.30%,1.04%,11.88%,579,631,,,,,,
3,September,2021,"3,087","3,990",-22.63%,"1,852","2,394",-22.63%,2.71%,15.27%,706,649,,,,,,
4,September,2021,"1,903","3,293",-42.21%,"1,142","1,976",-42.21%,1.42%,17.18%,530,660,,,,,,
5,September,2021,777,"1,615",-51.89%,466,969,-51.89%,0.89%,23.57%,17,504,,,,,,
6,September,2021,"4,936","1,995",147.42%,"2,962","1,197",147.42%,2.43%,1.04%,845,18,,,,,,
7,September,2021,"3,342","3,578",-6.60%,"2,005","2,147",-6.60%,2.02%,15.53%,718,924,,,,,,
8,September,2021,"6,106","2,637",131.55%,"3,664","1,582",131.55%,0.93%,20.31%,655,651,,,,,,
9,September,2021,"4,885","5,721",-14.61%,"2,931","3,433",-14.61%,1.37%,9.72%,631,685,,,,,,
10,September,2021,"3,881","3,444",12.69%,"2,329","2,066",12.69%,1.44%,15.88%,680,696,,,,,,
11,September,2021,"2,097","2,923",-28.26%,"1,258","1,754",-28.26%,1.68%,15.86%,485,828,,,,,,
12,September,2021,"2,476","1,669",48.35%,"1,486","1,001",48.35%,0.00%,22.73%,17,514,,,,,,
13,September,2021,"2,960","2,654",11.53%,"1,776","1,592",11.53%,5.28%,0.45%,727,20,,,,,,
14,September,2021,"2,840","4,688",-39.42%,"1,704","2,813",-39.42%,2.77%,14.04%,593,937,,,,,,
15,September,2021,"2,839","4,908",-42.16%,"1,703","2,945",-42.16%,4.02%,11.42%,627,840,,,,,,
16,September,2021,"4,422","3,645",21.32%,"2,653","2,187",21.32%,2.80%,15.39%,625,838,,,,,,
17,September,2021,"3,586","3,055",17.38%,"2,152","1,833",17.38%,3.40%,17.03%,699,806,,,,,,
18,September,2021,"1,602","3,881",-58.72%,961,"2,329",-58.72%,4.87%,18.28%,520,979,,,,,,
19,September,2021,"2,372","1,913",23.99%,"1,423","1,148",23.99%,0.67%,23.42%,24,499,,,,,,
20,September,2021,"3,294","1,130",191.50%,"1,976",678,191.50%,5.04%,0.88%,760,16,,,,,,
21,September,2021,"3,390","4,960",-31.65%,"2,034","2,976",-31.65%,2.17%,13.54%,648,1126,,,,,,
22,September,2021,"3,899","2,617",48.99%,"2,339","1,570",48.99%,2.07%,19.92%,669,864,,,,,,
23,September,2021,"3,549","4,094",-13.31%,"2,129","2,456",-13.31%,2.08%,13.92%,637,778,,,,,,
24,September,2021,"5,243","3,637",44.16%,"3,146","2,182",44.16%,1.80%,15.52%,678,705,,,,,,
25,September,2021,"2,211","3,428",-35.50%,"1,327","2,057",-35.50%,2.02%,16.59%,515,765,,,,,,
26,September,2021,"1,018","1,603",-36.49%,611,962,-36.49%,0.58%,25.65%,15,510,,,,,,
27,September,2021,"4,993","1,440",246.74%,"2,996",864,246.74%,2.03%,2.70%,823,21,,,,,,
28,September,2021,"3,304","4,087",-19.16%,"1,982","2,452",-19.16%,3.17%,16.04%,663,902,,,,,,
29,September,2021,"3,401","2,422",40.42%,"2,041","1,453",40.42%,2.50%,22.40%,689,810,,,,,,
30,September,2021,"5,111","5,544",-7.81%,"3,067","3,326",-7.81%,2.28%,11.31%,2796,2099,,,,,,
1,October,2021,"4,681","4,008",16.79%,"2,809","2,405",16.79%,3.12%,16.81%,812,587,,,,,,
2,October,2021,"2,531","3,760",-32.69%,"1,519","2,256",-32.69%,1.57%,16.80%,562,694,,,,,,
3,October,2021,"2,219","1,872",18.54%,"1,331","1,123",18.54%,0.04%,21.64%,16,538,,,,,,
4,October,2021,"4,863","3,351",45.12%,"2,918","2,011",45.12%,2.25%,1.67%,858,28,,,,,,
5,October,2021,"3,287","4,196",-21.66%,"1,972","2,518",-21.66%,2.58%,17.35%,681,761,,,,,,
6,October,2021,"4,918","3,031",62.26%,"2,951","1,819",62.26%,1.72%,17.03%,712,620,,,,,,
7,October,2021,"4,843","3,618",33.86%,"2,906","2,171",33.86%,1.17%,17.45%,666,897,,,,,,
8,October,2021,"2,596","4,527",-42.66%,"1,558","2,716",-42.66%,3.73%,12.98%,696,683,,,,,,
9,October,2021,"1,920","2,956",-35.05%,"1,152","1,774",-35.05%,3.81%,18.43%,482,777,,,,,,
10,October,2021,"2,651","1,533",72.93%,"1,591",920,72.93%,0.04%,23.88%,16,487,,,,,,
11,October,2021,"4,270","1,782",139.62%,"2,562","1,069",139.62%,2.18%,0.45%,672,16,,,,,,
12,October,2021,"2,528","4,275",-40.87%,"1,517","2,565",-40.87%,2.58%,15.18%,584,1022,,,,,,
13,October,2021,"3,408","3,089",10.33%,"2,045","1,853",10.33%,1.48%,18.56%,551,740,,,,,,
14,October,2021,"3,699","3,895",-5.03%,"2,219","2,337",-5.03%,1.11%,16.93%,556,819,,,,,,
15,October,2021,"2,774","4,419",-37.23%,"1,664","2,651",-37.23%,2.40%,16.26%,595,774,,,,,,
16,October,2021,"1,929","3,701",-47.88%,"1,157","2,221",-47.88%,2.00%,15.83%,474,824,,,,,,
17,October,2021,"1,178","1,672",-29.55%,707,"1,003",-29.55%,0.17%,25.56%,15,529,,,,,,
18,October,2021,"4,375","1,763",148.16%,"2,625","1,058",148.16%,1.67%,1.40%,744,19,,,,,,
19,October,2021,"3,106","3,491",-11.03%,"1,864","2,095",-11.03%,1.02%,21.18%,562,1063,,,,,,
20,October,2021,"3,333","2,595",28.44%,"2,000","1,557",28.44%,2.10%,18.70%,579,709,,,,,,
21,October,2021,"3,912","2,786",40.42%,"2,347","1,672",40.42%,2.96%,18.51%,528,668,,,,,,
22,October,2021,"2,877","3,832",-24.92%,"1,726","2,299",-24.92%,2.17%,14.41%,607,739,,,,,,
23,October,2021,"1,679","3,209",-47.68%,"1,007","1,925",-47.68%,1.42%,16.17%,453,846,,,,,,
24,October,2021,"1,358","1,783",-23.84%,815,"1,070",-23.84%,0.15%,18.47%,8,491,,,,,,
25,October,2021,"3,386","1,152",193.92%,"2,032",691,193.92%,2.60%,0.69%,733,23,,,,,,
26,October,2021,"2,125","3,956",-46.28%,"1,275","2,374",-46.28%,3.13%,16.33%,472,655,,,,,,
27,October,2021,"2,434","2,195",10.89%,"1,460","1,317",10.89%,3.14%,25.11%,636,835,,,,,,
28,October,2021,"1,676",881,90.24%,"1,006",529,90.24%,0.00%,0.79%,24,12,,,,,,
29,October,2021,"4,088","4,590",-10.94%,"2,453","2,754",-10.94%,1.77%,13.96%,701,891,,,,,,
30,October,2021,"2,118","3,820",-44.55%,"1,271","2,292",-44.55%,1.88%,20.75%,531,903,,,,,,
31,October,2021,"1,760","2,418",-27.21%,"1,056","1,451",-27.21%,1.83%,21.31%,2314,1590,,,,,,
1,November,2021,"4,364","2,653",64.49%,"2,618","1,592",64.49%,3.77%,1.63%,750,25,,,,,,
2,November,2021,"5,309","5,781",-8.16%,"3,185","3,469",-8.16%,1.84%,16.72%,598,855,,,,,,
3,November,2021,"3,573","3,628",-1.52%,"2,144","2,177",-1.52%,2.01%,20.09%,609,782,,,,,,
4,November,2021,"3,495","3,818",-8.46%,"2,097","2,291",-8.46%,3.17%,19.13%,607,701,,,,,,
5,November,2021,"2,666","5,148",-48.21%,"1,600","3,089",-48.21%,4.19%,12.27%,635,681,,,,,,
6,November,2021,"1,828","4,400",-58.45%,"1,097","2,640",-58.45%,6.63%,16.68%,465,803,,,,,,
7,November,2021,850,"2,640",-67.80%,510,"1,584",-67.80%,0.69%,22.51%,12,578,,,,,,
8,November,2021,"4,048","1,685",140.24%,"2,429","1,011",140.24%,1.89%,1.29%,746,20,,,,,,
9,November,2021,"2,726","5,128",-46.84%,"1,636","3,077",-46.84%,2.81%,14.93%,609,888,,,,,,
10,November,2021,"4,095","2,482",64.99%,"2,457","1,489",64.99%,5.25%,22.34%,567,583,,,,,,
11,November,2021,"3,312","4,488",-26.20%,"1,987","2,693",-26.20%,1.48%,13.49%,534,819,,,,,,
12,November,2021,"2,711","3,276",-17.25%,"1,627","1,966",-17.25%,3.11%,18.26%,572,683,,,,,,
13,November,2021,"1,725","4,086",-57.78%,"1,035","2,452",-57.78%,0.74%,13.80%,441,828,,,,,,
14,November,2021,"3,322","1,785",86.11%,"1,993","1,071",86.11%,0.06%,23.46%,19,488,,,,,,
15,November,2021,"3,158","1,196",164.05%,"1,895",718,164.05%,2.36%,0.33%,668,13,,,,,,
16,November,2021,"2,633","5,072",-48.09%,"1,580","3,043",-48.09%,2.19%,12.16%,616,834,,,,,,
17,November,2021,"2,186","2,610",-16.25%,"1,312","1,566",-16.25%,2.85%,20.28%,548,727,,,,,,
18,November,2021,"3,686","3,747",-1.63%,"2,212","2,248",-1.63%,4.86%,14.92%,522,674,,,,,,
19,November,2021,"3,044","3,209",-5.14%,"1,826","1,925",-5.14%,4.03%,13.36%,579,659,,,,,,
20,November,2021,"1,457","2,313",-37.01%,874,"1,388",-37.01%,1.10%,22.23%,417,713,,,,,,
21,November,2021,"1,403","1,541",-8.96%,842,925,-8.96%,4.93%,19.36%,21,468,,,,,,
22,November,2021,"3,371","2,042",65.08%,"2,023","1,225",65.08%,2.96%,0.87%,676,20,,,,,,
23,November,2021,"2,087","4,014",-48.01%,"1,252","2,408",-48.01%,5.09%,14.81%,493,846,,,,,,
24,November,2021,"1,779","1,940",-8.30%,"1,067","1,164",-8.30%,3.36%,23.05%,505,723,,,,,,
25,November,2021,"2,789","2,550",9.37%,"1,673","1,530",9.37%,4.85%,18.74%,486,681,,,,,,
26,November,2021,"2,261","3,784",-40.25%,"1,357","2,270",-40.25%,3.09%,15.33%,553,559,,,,,,
27,November,2021,"1,667","2,719",-38.69%,"1,000","1,631",-38.69%,1.64%,18.69%,422,782,,,,,,
28,November,2021,644,"1,660",-61.20%,386,996,-61.20%,0.00%,21.14%,11,476,,,,,,
29,November,2021,"4,800",973,393.32%,"2,880",584,393.32%,2.28%,9.24%,672,24,,,,,,
30,November,2021,"1,917","4,759",-59.72%,"1,150","2,855",-59.72%,3.76%,13.27%,2444,1624,,,,,,
1,December,2021,"3,312","2,335",41.84%,"1,987","1,401",41.84%,4.79%,33.08%,554,610,,,,,,
2,December,2021,"2,706","2,869",-5.68%,"1,624","1,721",-5.68%,3.93%,22.86%,528,557,,,,,,
3,December,2021,"2,837","3,963",-28.41%,"1,702","2,378",-28.41%,2.98%,13.62%,564,510,,,,,,
4,December,2021,"1,140","3,164",-63.97%,684,"1,898",-63.97%,6.08%,15.99%,411,534,,,,,,
5,December,2021,511,"1,586",-67.78%,307,952,-67.78%,0.20%,25.36%,16,493,,,,,,
6,December,2021,"4,296",715,500.84%,"2,578",429,500.84%,1.99%,1.24%,607,18,,,,,,
7,December,2021,"2,056","3,028",-32.10%,"1,234","1,817",-32.10%,5.94%,22.70%,538,873,,,,,,
8,December,2021,"2,178","3,050",-28.59%,"1,307","1,830",-28.59%,6.28%,16.09%,556,547,,,,,,
9,December,2021,"3,984","3,478",14.55%,"2,390","2,087",14.55%,3.82%,15.77%,568,522,,,,,,
10,December,2021,"2,076","4,311",-51.84%,"1,246","2,587",-51.84%,7.92%,13.57%,600,589,,,,,,
11,December,2021,"1,298","2,476",-47.58%,779,"1,486",-47.58%,1.54%,19.69%,417,748,,,,,,
12,December,2021,"1,115","1,526",-26.93%,669,916,-26.93%,0.88%,22.93%,14,459,,,,,,
13,December,2021,"4,046",438,823.74%,"2,428",263,823.74%,3.51%,0.45%,657,13,,,,,,
14,December,2021,"2,290","3,134",-26.93%,"1,374","1,880",-26.93%,5.60%,19.02%,509,738,,,,,,
15,December,2021,"3,133","2,604",20.31%,"1,880","1,562",20.31%,3.21%,19.78%,475,665,,,,,,
16,December,2021,"3,006","2,614",15.00%,"1,804","1,568",15.00%,3.92%,19.10%,535,595,,,,,,
17,December,2021,"2,368","3,010",-21.33%,"1,421","1,806",-21.33%,4.01%,15.19%,541,497,,,,,,
18,December,2021,"1,286","2,972",-56.73%,772,"1,783",-56.73%,1.68%,16.89%,415,687,,,,,,
19,December,2021,"1,418","1,447",-2.00%,851,868,-2.00%,0.70%,26.17%,23,442,,,,,,
20,December,2021,"3,180","1,399",127.31%,"1,908",839,127.31%,3.61%,1.34%,560,23,,,,,,
21,December,2021,"2,506","3,496",-28.32%,"1,504","2,098",-28.32%,2.32%,17.93%,481,715,,,,,,
22,December,2021,"3,240","2,418",34.00%,"1,944","1,451",34.00%,2.70%,20.83%,511,1010,,,,,,
23,December,2021,"3,579","4,824",-25.81%,"2,147","2,894",-25.81%,3.10%,14.73%,602,863,,,,,,
24,December,2021,"2,098","2,992",-29.88%,"1,259","1,795",-29.88%,3.40%,20.59%,562,663,,,,,,
26,December,2021,936,0,#DIV/0!,562,,,0.00%,,14,,,,,,,
27,December,2021,"4,007","1,517",164.14%,"2,404",910,164.14%,4.20%,0.59%,480,33,,,,,,
28,December,2021,"1,573","4,379",-64.08%,944,"2,627",-64.08%,4.99%,12.77%,483,770,,,,,,
29,December,2021,"3,552","2,709",31.12%,"2,131","1,625",31.12%,3.75%,20.02%,499,753,,,,,,
30,December,2021,"2,425","3,124",-22.38%,"1,455","1,874",-22.38%,4.40%,21.39%,537,804,,,,,,
31,December,2021,"1,545","1,490",3.69%,927,894,3.69%,8.85%,35.39%,2892,2094,,,,,,
,,,,,,,,,,,,,,,,,,
