Date,product_id,daily_unit_sales,previous_year_daily_unit_sales,daily_unit_sales_kg,previous_year_daily_unit_sales_kg,daily_unit_returns_kg,previous_year_daily_unit_returns_kg,points_of_distribution
2020-01-12,3,825.0,,494.99999999999994,,0.09140969162995594,,31.0
2020-01-12,5,897.0,,538.2,,0.055789473684210514,,23.0
2020-01-12,6,1886.0,,414.92,,0.05982053838484546,,29.0
2020-01-12,7,691.5333333333334,,414.92,,0.05982053838484546,,29.0
2020-01-12,1,2776.000000000001,,1665.6000000000004,,0,,26.0
2020-01-12,4,674.0,,404.40000000000003,,0.10491367861885792,,28.0
2020-01-13,1,3815.000000000004,,2289.0000000000023,,0,,981.0
2020-01-13,3,669.0,,401.39999999999975,,0.49433106575963587,,576.0
2020-01-13,5,596.0,,357.59999999999974,,0.3029239766081868,,379.0
2020-01-13,4,797.0,,478.19999999999965,,0.43912737508796496,,649.0
2020-01-13,6,3535.9999999999945,,777.9199999999988,,0.2758550071677235,,826.0
2020-01-13,2,717.0,,717.0,,0,,0.0
2020-01-13,7,1296.5333333333328,,777.9199999999997,,0.27585500716772365,,826.0
2020-01-14,5,563.0,,337.7999999999999,,0.24732620320855603,,322.0
2020-01-14,6,3077.999999999996,,677.1599999999991,,0.2707889125799559,,707.0
2020-01-14,2,571.0,,571.0,,0,,0.0
2020-01-14,7,1128.5999999999988,,677.1599999999992,,0.2707889125799562,,707.0
2020-01-14,4,957.0,,574.1999999999994,,0.32889200561009746,,562.0
2020-01-14,3,805.0,,483.00000000000006,,0.411979547114681,,572.0
2020-01-14,1,2622.0000000000014,,1573.2000000000007,,0,,837.0
2020-01-15,1,3715.0000000000045,,2229.0000000000027,,0,,958.0
2020-01-15,3,1254.0,,752.3999999999997,,0.33048585157501265,,621.0
2020-01-15,6,3816.999999999997,,839.7399999999993,,0.23781948881789022,,768.0
2020-01-15,2,682.0,,682.0,,0,,0.0
2020-01-15,4,935.0,,560.9999999999998,,0.38768827766863023,,719.0
2020-01-15,5,807.0,,484.2,,0.2562211981566818,,438.0
2020-01-15,7,1399.5666666666664,,839.7399999999998,,0.23781948881789067,,768.0
2020-01-16,6,3546.9999999999945,,780.3399999999988,,0.31193016488845743,,717.0
2020-01-16,7,1300.5666666666666,,780.3399999999999,,0.31193016488845765,,717.0
2020-01-16,4,836.0,,501.5999999999996,,0.46099290780141744,,654.0
2020-01-16,3,647.0,,388.2,,0.5287691187181354,,599.0
2020-01-16,2,658.0,,658.0,,0,,0.0
2020-01-16,5,676.0,,405.5999999999998,,0.23959505061867228,,363.0
2020-01-16,1,3056.0000000000014,,1833.6000000000008,,0,,888.0
2020-01-17,4,679.0,,407.4,,0.49062265566391466,,673.0
2020-01-17,2,581.0,,581.0,,0,,0.0
2020-01-17,6,3296.9999999999964,,725.3399999999992,,0.2658650634602535,,765.0
2020-01-17,1,3263.9999999999995,,1958.3999999999996,,0,,934.0
2020-01-17,7,1208.8999999999992,,725.3399999999995,,0.26586506346025346,,765.0
2020-01-17,5,457.0,,274.1999999999998,,0.3127819548872179,,366.0
