Permit #,City,State,ZIP,District,Date issued,Mapped Location,Zip,lng,lat,School Board Districts,S Neighborhoods,Police Precincts,Counties,Council Districts,Zip Codes
75,Nashville,TN,37215,34,10/23/2012,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
277,Nashville,TN,37211,16,3/24/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
328,Nashville,TN,37206,6,12/1/2014,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
282,Nashville,TN,37208,21,12/12/2014,"Nashville, TN",37208,36.176427,-86.805176,1,,6,"2,005",15,
241,Nashville,TN,37212,18,9/6/2012,"Nashville, TN",37212,36.133256,-86.801456,6,578,5,"2,005",12,"15,804"
,Nashville,TN,37080,1,6/22/2012,"Nashville, TN",37080,36.331509,-86.915843,1,650,6,"2,005",1,"28,815"
192,Nashville,TN,37205,23,10/24/2014,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
275,Nashville,TN,37206,7,3/21/2014,"Nashville, TN",37206,36.18095,-86.739624,7,14,2,"2,005",7,"15,548"
264,Nashville,TN,37211,26,3/6/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
324,Nashville,TN,37214,13,12/16/2014,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
471,Nashville,TN,37205,23,8/11/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
410,Nashville,TN,37218,1,3/24/2015,"Nashville, TN",37218,36.210699,-86.866798,1,,6,"2,005",1,"16,168"
218,Nashville,TN,37215,34,12/1/2014,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
459,Nashville,TN,37217,16,6/26/2015,"Nashville, TN",37217,36.106646,-86.667608,9,,3,"2,005",18,"15,807"
225,Nashville,TN,37214,13,11/26/2014,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
421,Nashville,TN,37211,27,4/21/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
491,Nashville,TN,37205,26,12/1/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
217,Nashville,TN,37218,2,11/19/2015,"Nashville, TN",37218,36.210699,-86.866798,1,,6,"2,005",1,"16,168"
276,Nashville,TN,37207,8,3/24/2014,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
66,Nashville,TN,37207,8,11/26/2014,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
314,Nashville,TN,37205,23,11/25/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
273,Nashville,TN,37212,7,1/6/2015,"Nashville, TN",37212,36.133256,-86.801456,6,578,5,"2,005",12,"15,804"
348,Nashville,TN,37215,25,1/21/2015,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
337,Nashville,TN,37204,17,8/18/2014,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
199,Nashville,TN,37205,23,11/19/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
323,Nashville,TN,37115,10,11/18/2015,"Nashville, TN",37115,36.262567,-86.704171,2,979,4,"2,005",4,"1,527"
318,Nashville,TN,37221,35,12/3/2014,"Nashville, TN",37221,36.064367,-86.96029,5,84,8,"2,005",35,"16,173"
184,Nashville,TN,37216,7,6/27/2012,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
,Nashville,TN,37205,23,12/1/2014,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
418,Nashville,TN,37209,29,4/16/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
330,Nashville,TN,37205,24,1/6/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
222,Nashville,TN,37208,21,12/10/2014,"Nashville, TN",37208,36.176427,-86.805176,1,,6,"2,005",15,
4,Nashville,TN,37211,16,1/26/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
210,Nashville,TN,37205,23,12/1/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
285,Nashville,TN,37215,34,6/6/2012,"Nashville, TN",37215,36.091316,-86.827959,6,,5,"2,005",23,"15,809"
458,Nashville,TN,37214,15,6/25/2015,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
484,Nashville,TN,37013,33,9/18/2015,"Nashville, TN",37013,36.049335,-86.641832,8,669,7,"2,005",30,"24,062"
439,Nashville,TN,37207,8,5/26/2015,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
430,Nashville,TN,37214,15,5/1/2015,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
221,Nashville,TN,37205,24,12/31/2014,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
126,Nashville,TN,37214,15,6/25/2012,"Nashville, TN",37214,36.168995,-86.667231,4,,3,"2,005",20,"15,807"
274,Nashville,TN,37209,23,12/1/2015,"Nashville, TN",37209,36.149599,-86.874487,5,2,8,"2,005",14,"15,798"
221,Nashville,TN,37211,26,11/30/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
