Permit #,City,State,ZIP,District,Date issued,Mapped Location,Zip,lng,lat,School Board Districts,S Neighborhoods,Police Precincts,Counties,Council Districts,Zip Codes
455,Nashville,TN,37211,27,6/23/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
402,Nashville,TN,37212,18,2/19/2015,"Nashville, TN",37212,36.133256,-86.801456,6,578,5,"2,005",12,"15,804"
269,Nashville,TN,37211,16,11/1/2014,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
154,Nashville,TN,37207,8,4/26/2012,"Nashville, TN",37207,36.224945,-86.775061,1,,6,"2,005",2,"15,550"
303,Nashville,TN,37216,7,12/12/2014,"Nashville, TN",37216,36.216134,-86.726204,2,82,2,"2,005",8,"16,164"
278,Nashville,TN,37115,6,9/9/2014,"Nashville, TN",37115,36.262567,-86.704171,2,979,4,"2,005",4,"1,527"
195,Nashville,TN,37211,7,3/12/2015,"Nashville, TN",37211,36.069132,-86.724578,3,,5,"2,005",25,"15,803"
251,Nashville,TN,37205,23,1/27/2014,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
279,Nashville,TN,37204,17,2/10/2015,"Nashville, TN",37204,36.109305,-86.776748,6,,5,"2,005",23,"30,813"
324,Nashville,TN,37205,23,2/10/2015,"Nashville, TN",37205,36.112469,-86.867263,5,4,8,"2,005",32,"30,816"
